frame_nr;sampler_time;layer_id;layer_size;encoding_time;encoded_size;send_timestamp;full_size
205;6;1;397980;5;74921;1696323333462;0
205;6;2;238815;3;48075;1696323333462;0
210;4;0;954135;12;162761;1696323333587;0
210;4;1;397560;4;75352;1696323333587;0
210;4;2;238575;5;48087;1696323333587;0
215;3;0;953805;12;159999;1696323333691;0
215;3;1;397425;4;74129;1696323333691;0
215;3;2;238485;5;46752;1696323333691;0
220;2;0;957720;11;158197;1696323333802;0
220;2;1;399060;4;73017;1696323333802;0
220;2;2;239460;4;46632;1696323333802;0
225;6;0;969840;12;156841;1696323333910;0
225;6;1;404100;4;73023;1696323333910;0
225;6;2;242490;5;46339;1696323333910;0
230;4;0;981450;12;160636;1696323334017;0
230;4;1;408945;4;74015;1696323334017;0
230;4;2;245385;4;47138;1696323334017;0
235;5;0;989490;14;161460;1696323334118;0
235;5;1;412290;5;74974;1696323334118;0
235;5;2;247410;4;47905;1696323334118;0
240;6;0;999300;16;164217;1696323334224;0
240;6;1;416370;5;76795;1696323334224;0
240;6;2;249855;5;48798;1696323334224;0
245;6;0;1024020;17;167656;1696323334342;0
245;6;1;426675;7;78777;1696323334342;0
245;6;2;256050;5;50118;1696323334342;0
250;6;0;1048710;14;176351;1696323334450;0
250;6;1;436965;5;80607;1696323334450;0
250;6;2;262215;6;51628;1696323334450;0
255;5;0;1076895;16;184005;1696323334589;0
255;5;1;448710;6;85129;1696323334589;0
255;5;2;269250;5;54891;1696323334589;0
260;6;0;1093575;16;188590;1696323334717;0
260;6;1;455655;7;86940;1696323334717;0
260;6;2;273435;3;55866;1696323334717;0
265;5;0;1108620;15;190385;1696323334855;0
265;5;1;461925;5;87741;1696323334855;0
265;5;2;277200;6;56009;1696323334855;0
270;6;0;1116750;20;190853;1696323335003;0
270;6;1;465315;10;88558;1696323335003;0
270;6;2;279210;4;56303;1696323335003;0
275;7;0;1123080;15;192715;1696323335149;0
275;7;1;467955;7;89278;1696323335149;0
275;7;2;280800;3;56720;1696323335149;0
280;6;0;1122255;14;193253;1696323335292;0
280;6;1;467610;5;89819;1696323335292;0
280;6;2;280605;5;56921;1696323335292;0
285;5;0;1124715;15;192917;1696323335401;0
285;5;1;468630;7;89739;1696323335401;0
285;5;2;281205;3;57148;1696323335401;0
290;3;0;1124775;17;192614;1696323335507;0
290;3;1;468660;6;89463;1696323335507;0
290;3;2;281220;3;57064;1696323335507;0
295;3;0;1125360;14;193940;1696323335628;0
295;3;1;468900;5;89635;1696323335628;0
295;3;2;281385;6;57070;1696323335628;0
300;7;0;1126635;13;192969;1696323335791;0
300;7;1;469440;6;89737;1696323335791;0
300;7;2;281685;3;56733;1696323335791;0
305;7;0;1125900;15;192665;1696323335918;0
305;7;1;469125;7;89687;1696323335918;0
305;7;2;281520;3;57039;1696323335918;0
310;3;0;1125495;19;193511;1696323336107;0
310;3;1;468960;12;90210;1696323336107;0
310;3;2;281415;6;57359;1696323336107;0
315;4;0;1127205;16;193582;1696323336240;0
315;4;1;469665;6;89030;1696323336240;0
315;4;2;281835;5;56934;1696323336240;0
320;3;0;1127055;19;192490;1696323336372;0
320;3;1;469605;10;89521;1696323336372;0
320;3;2;281790;3;56875;1696323336372;0
325;3;0;1126170;21;193583;1696323336542;0
325;3;1;469245;6;89711;1696323336542;0
325;3;2;281565;4;57460;1696323336542;0
330;5;0;1130895;16;195070;1696323336697;0
330;5;1;471210;6;89832;1696323336697;0
330;5;2;282750;7;57713;1696323336697;0
335;9;0;1128840;18;194617;1696323336913;0
335;9;1;470355;6;90179;1696323336913;0
335;9;2;282240;6;57616;1696323336913;0
340;3;0;1124220;17;193356;1696323337108;0
340;3;1;468420;11;89848;1696323337108;0
340;3;2;281085;6;57285;1696323337108;0
345;4;0;1104345;18;187908;1696323337271;0
345;4;1;460140;8;87736;1696323337271;0
345;4;2;276120;6;55816;1696323337271;0
350;6;0;1067745;15;181462;1696323337426;0
350;6;1;444900;6;83469;1696323337426;0
350;6;2;266955;6;53209;1696323337426;0
355;6;0;983880;13;159769;1696323337606;0
355;6;1;409950;5;74419;1696323337606;0
355;6;2;246015;3;46972;1696323337606;0
360;4;0;957015;12;154118;1696323337715;0
360;4;1;398760;6;71372;1696323337715;0
360;4;2;239280;2;45642;1696323337715;0
365;4;0;960615;13;159608;1696323337826;0
365;4;1;400260;5;73483;1696323337826;0
365;4;2;240180;5;46580;1696323337826;0
370;4;0;951585;13;154423;1696323337938;0
370;4;1;396495;5;71038;1696323337938;0
370;4;2;237930;3;44975;1696323337938;0
375;5;0;946575;13;156252;1696323338042;0
375;5;1;394410;5;72532;1696323338042;0
375;5;2;236685;2;45874;1696323338042;0
380;7;0;943425;11;154703;1696323338149;0
380;7;1;393105;6;71379;1696323338149;0
380;7;2;235890;2;45379;1696323338149;0
385;8;0;939720;14;150659;1696323338249;0
385;8;1;391545;6;69526;1696323338249;0
385;8;2;234960;4;44843;1696323338249;0
390;9;0;942930;15;153131;1696323338373;0
390;9;1;392895;5;70531;1696323338373;0
390;9;2;235755;3;44440;1696323338373;0
395;15;0;947880;13;154274;1696323338473;0
395;15;1;394950;4;71678;1696323338473;0
395;15;2;237000;5;45298;1696323338473;0
400;15;0;945045;13;155285;1696323338586;0
400;15;1;393780;6;71971;1696323338586;0
400;15;2;236295;3;45235;1696323338586;0
405;32;0;949830;12;156039;1696323338757;0
405;32;1;395760;4;72522;1696323338757;0
405;32;2;237495;5;46262;1696323338757;0
410;8;0;956970;14;159199;1696323338882;0
410;8;1;398745;5;73871;1696323338882;0
410;8;2;239280;4;46694;1696323338882;0
415;9;0;957450;13;157574;1696323338985;0
415;9;1;398940;4;72389;1696323338985;0
415;9;2;239385;5;46488;1696323338985;0
420;20;0;961470;13;158025;1696323339089;0
420;20;1;400620;5;72215;1696323339089;0
420;20;2;240390;2;46623;1696323339089;0
425;13;0;964665;13;158572;1696323339193;0
425;13;1;401940;6;73368;1696323339193;0
425;13;2;241200;2;46900;1696323339193;0
430;23;0;979380;12;156879;1696323339289;0
430;23;1;408075;5;72364;1696323339289;0
430;23;2;244890;4;46083;1696323339289;0
435;11;0;1042305;14;117085;1696323339391;0
435;11;1;434295;6;54582;1696323339391;0
435;11;2;260610;3;34913;1696323339391;0
440;8;0;1483365;19;168216;1696323339550;0
440;8;1;618075;8;77759;1696323339550;0
440;8;2;370860;4;48897;1696323339550;0
445;7;0;1351245;15;165465;1696323339732;0
